discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_full_name,country_name
Shooting,tokyo-2020,Trap Mixed Team,Mixed,GOLD,GameTeam,Spain,Fatima GALVEZ,Spain
Shooting,tokyo-2020,Trap Mixed Team,Mixed,GOLD,GameTeam,Spain,Alberto FERNANDEZ,Spain
Shooting,tokyo-2020,Trap Mixed Team,Mixed,SILVER,GameTeam,San Marino,Alessandra PERILLI,San Marino
Shooting,tokyo-2020,Trap Mixed Team,Mixed,SILVER,GameTeam,San Marino,Gian Marco BERTI,San Marino
Shooting,tokyo-2020,Trap Mixed Team,Mixed,BRONZE,GameTeam,United States of America,Madelynn Ann BERNAU,United States of America
Shooting,tokyo-2020,Trap Mixed Team,Mixed,BRONZE,GameTeam,United States of America,Brian BURROWS,United States of America
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,SILVER,Athlete,,Yulia ZYKOVA,ROC
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,BRONZE,Athlete,,Yulia KARIMOVA,ROC
Shooting,tokyo-2020,50m Rifle 3 Positions women,Women,GOLD,Athlete,,Nina CHRISTEN,Switzerland
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,BRONZE,Athlete,,Milenko SEBIC,Serbia
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,SILVER,Athlete,,Sergey KAMENSKIY,ROC
Shooting,tokyo-2020,50m Rifle 3 Positions Men,Men,GOLD,Athlete,,Changhong ZHANG,People's Republic of China
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,GOLD,Athlete,,Jean QUIQUAMPOIX,France
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,SILVER,Athlete,,Leuris PUPO,Cuba
Shooting,tokyo-2020,25m Rapid Fire Pistol Men,Men,BRONZE,Athlete,,Yuehong LI,People's Republic of China
Shooting,tokyo-2020,10m Air Rifle Men,Men,SILVER,Athlete,,Lihao SHENG,People's Republic of China
Shooting,tokyo-2020,10m Air Rifle Men,Men,GOLD,Athlete,,William SHANER,United States of America
Shooting,tokyo-2020,10m Air Rifle Men,Men,BRONZE,Athlete,,Haoran YANG,People's Republic of China
Shooting,tokyo-2020,10m Air Rifle women,Women,SILVER,Athlete,,Anastasiia GALASHINA,ROC
Shooting,tokyo-2020,10m Air Rifle women,Women,BRONZE,Athlete,,Nina CHRISTEN,Switzerland
Shooting,tokyo-2020,10m Air Rifle women,Women,GOLD,Athlete,,Qian YANG,People's Republic of China
Shooting,tokyo-2020,Trap Men,Men,GOLD,Athlete,,Jiri LIPTAK,Czech Republic
Shooting,tokyo-2020,Trap Men,Men,SILVER,Athlete,,David KOSTELECKY,Czech Republic
Shooting,tokyo-2020,Trap Men,Men,BRONZE,Athlete,,Matthew John COWARD HOLLEY,Great Britain
Shooting,tokyo-2020,Skeet women,Women,SILVER,Athlete,,Diana BACOSI,Italy
Shooting,tokyo-2020,Skeet women,Women,GOLD,Athlete,,Amber ENGLISH,United States of America
Shooting,tokyo-2020,Skeet women,Women,BRONZE,Athlete,,Meng WEI,People's Republic of China
Shooting,tokyo-2020,Trap women,Women,GOLD,Athlete,,Zuzana STEFECEKOVA,Slovakia
Shooting,tokyo-2020,Trap women,Women,BRONZE,Athlete,,Alessandra PERILLI,San Marino
Shooting,tokyo-2020,Trap women,Women,SILVER,Athlete,,Kayle BROWNING,United States of America
Shooting,tokyo-2020,10m Air Pistol women,Women,BRONZE,Athlete,,Ranxin JIANG,People's Republic of China
Shooting,tokyo-2020,10m Air Pistol women,Women,GOLD,Athlete,,Vitalina BATSARASHKINA,ROC
Shooting,tokyo-2020,10m Air Pistol women,Women,SILVER,Athlete,,Antoaneta BONEVA,Bulgaria
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,GOLD,GameTeam,People's Republic of China 1,Qian YANG,People's Republic of China
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,GOLD,GameTeam,People's Republic of China 1,Haoran YANG,People's Republic of China
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,SILVER,GameTeam,United States of America 1,Mary Carolynn TUCKER,United States of America
Shooting,tokyo-2020,10m Air Rifle Mixed Team,Mixed,SILVER,GameTeam,United States of America 1,Lucas KOZENIESKY,United States of America
Shooting,tokyo-2020,25m Pistol Women,Women,BRONZE,Athlete,,Jiaruixuan XIAO,People's Republic of China
Shooting,tokyo-2020,25m Pistol Women,Women,GOLD,Athlete,,Vitalina BATSARASHKINA,ROC
Shooting,tokyo-2020,25m Pistol Women,Women,SILVER,Athlete,,Minjung KIM,Republic of Korea
Shooting,tokyo-2020,10m Air Pistol Men,Men,SILVER,Athlete,,Damir MIKEC,Serbia
Shooting,tokyo-2020,10m Air Pistol Men,Men,GOLD,Athlete,,Javad FOROUGHI,Islamic Republic of Iran
Shooting,tokyo-2020,10m Air Pistol Men,Men,BRONZE,Athlete,,Wei PANG,People's Republic of China
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,GOLD,GameTeam,People's Republic of China 1,Ranxin JIANG,People's Republic of China
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,GOLD,GameTeam,People's Republic of China 1,Wei PANG,People's Republic of China
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,SILVER,GameTeam,ROC 1,Vitalina BATSARASHKINA,ROC
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,SILVER,GameTeam,ROC 1,Artem CHERNOUSOV,ROC
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,BRONZE,GameTeam,Ukraine,Olena KOSTEVYCH,Ukraine
Shooting,tokyo-2020,10m Air Pistol Mixed Team,Mixed,BRONZE,GameTeam,Ukraine,Oleh OMELCHUK,Ukraine
Shooting,tokyo-2020,Skeet Men,Men,BRONZE,Athlete,,Abdullah ALRASHIDI,Kuwait
Shooting,tokyo-2020,Skeet Men,Men,SILVER,Athlete,,Jesper HANSEN,Denmark
Shooting,tokyo-2020,Skeet Men,Men,GOLD,Athlete,,Vincent HANCOCK,United States of America
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,GOLD,GameTeam,China,Zongyuan WANG,People's Republic of China
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,GOLD,GameTeam,China,Siyi XIE,People's Republic of China
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,SILVER,GameTeam,United States,Andrew CAPOBIANCO,United States of America
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,SILVER,GameTeam,United States,Mike HIXON,United States of America
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,BRONZE,GameTeam,Germany,Patrick HAUSDING,Germany
Diving,tokyo-2020,Men's Synchronised 3m Springboard,Men,BRONZE,GameTeam,Germany,Lars RUDIGER,Germany
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,GOLD,GameTeam,China,Tingmao SHI,People's Republic of China
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,GOLD,GameTeam,China,Han WANG,People's Republic of China
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,SILVER,GameTeam,Canada,Jennifer ABEL,Canada
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,SILVER,GameTeam,Canada,Melissa CITRINI BEAULIEU,Canada
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,BRONZE,GameTeam,Germany,Lena HENTSCHEL,Germany
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,BRONZE,GameTeam,Germany,Tina PUNZEL,Germany
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,GOLD,GameTeam,Great Britain,Thomas DALEY,Great Britain
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,GOLD,GameTeam,Great Britain,Matty LEE,Great Britain
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,SILVER,GameTeam,China,Yuan CAO,People's Republic of China
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,SILVER,GameTeam,China,Aisen CHEN,People's Republic of China
